title,address,post_time,work_experience,education,salary,company,workTag,welfare,work_content
高级大数据开发工程师,"成都 - 武侯区- 成都市天府软件园E区1栋10楼
",2023/9/13,5-10年 ,本科,20k-35k,"

卡莱博尔

","

数据服务｜咨询 / C轮 / 50-150人

",弹性上班、五险一金、周末双休，项目奖金,"岗位职责： 
 
1. 负责大数据采集、存储、计算、分析等场景的通用架构设计和开发； 
 
2. 负责流式数据的实时传递、清洗、转换和计算（实时统计、分析等）的设计和开发； 
 
3. 负责大数据相关框架/工具/中间件的设计和开发； 
 
4. 负责以上各种架构平台及相关基础技术组件的稳定性保障及源码级的bug修复； 
 
5. 负责大数据相关解决方案的设计文档撰写。 
 
任职要求： 
 
1. 本科以上学历，计算机相关专业； 
 
2. 五年以上大数据平台相关开发及架构设计经验； 
 
3. 深入使用Java，深入理解并熟练使用Java类库及框架，如多线程、并发处理、I/O与网络通讯； 
 
4. 对Java虚拟机有较深了解，有运行态JVM分析及调优的实际经验； 
 
5. 熟悉Linux系统，具备Shell、Python等脚本开发能力者优先； 
 
6. 熟悉并使用过各种大数据相关框架或组件优先，如Kafka、Storm/JStorm、Hadoop/Spark、Hive、HBase、kylin、opentsdb、redis、flume等，具备源代码级问题解决和集群优化改造能力者优先； 
 
7. 具备丰富的数据处理和数据仓库建模的项目实践经验者优先； 
 
8. 具有良好的语言表达和文档撰写能力，学习能力强，喜欢研究开源新技术，有团队观念，具备独立解决问题的能力； 
 
9. 有一年以上大数据团队带领经验优先。 
 
"
高级大数据开发工程师,"成都 - 高新区- 交子大道88号中航国际广场A栋802
",2023/4/11,5-10年 ,本科,15k-25k,"

我行我数

","

移动互联网,数据服务 / 未融资 / 50-150人

",新希望,"岗位描述： 
1、参与搭建公司的离线、实时数据仓库 
2、参与批处理、流处理etl作业开发 
3、对接业务需求，生产数据报表、看板、指标、画像等 
 
岗位要求： 
1、大学本科学历以上 
2、有五年以上数据开发经验 
3、熟练掌握spark或flink开发能力，有3年以上的开发经验 
4、熟悉和掌握实时数仓的搭建，有实践经验。例如clickhouse、druid等 
4、熟悉和掌握数据仓库建模，有实践经验 
5、熟练使用hadoop平台，包括不限于：hdfs、flume、hive、hbase等 
"
高级大数据开发工程师,"成都 - 青羊区- 西村大院1号楼
",2023/1/30,5-10年 ,本科,18k-35k,"

直真君智

","

数据服务 / 不需要融资 / 50-150人

",五险一金 军工科技不受大环境影响,"工作内容： 
1. 负责高性能、高可用的大数据数据处理与分析paas软件的研发。 
2. 参与包含数据集成系统、元数据管理、数据质量管理等平台的构建与维护； 
3. 基于spark上用scala编程语言开发，完成相关网络安全产品的需求实现。 
4.了解一定的数据挖掘算法，熟悉相关数据模型 
任职要求： 
1. 本科及以上学历，计算机相关专业五年以上工作经验； 
2. 扎实的计算机基础，掌握常用的数据结构及算法，熟练掌握Scala/Python/go/Java 中的一项或多项； 
3. 了解分布式系统、大数据平台，有完整的数据工程项目经验，具备一定的框架设计以及抽象能力； 
4. 熟悉 Hadoop 生态体系，包括但不限于：Hadoop、Hive、HBase、Spark、Flink、Kafka、Beam 等； 
5. 良好的团队精神以及合作意识，热爱技术，高度自驱，追求卓越，对数据敏感； 
6. 对批量计算、流式计算、时序数据处理、存储引擎、资源调度等一项或多项有深入理解优先 
说明：自研项目非外包，但此岗位会有出差，介意勿扰 
学历最低要求本科， 
 
base上海，北京，长沙，无锡，成都均可"
大数据开发工程师,"成都 - 武侯区 - 小天竺- 人民南路三段1号平安财富中心10楼
",2023/4/2,3-5年 ,大专,14k-19k,"

博悦科创

","

IT技术服务｜咨询 / 不需要融资 / 500-2000人

",五险一金 下午茶 带薪年假 团建,"1、专科以上学历，三年以上Java/大数据开发工作经验； 
2、有一定的JAVA功底，熟练掌握SpringMVC、SpringBoot、SpringCloud、Mybatis等开发框架，能够独立完成相关业务功能和接口的开发； 
3、熟悉大数据平台相关组件的使用，如hadoop、hbase、elasticsearch、hive、spark、flink、ck、azkaban等； 
5、熟练掌握常用的关系型及非关系型数据库，如：Oracle、Mysql、Redis、MongoDB； 
6、熟练使用sql进行数据分析，对于复杂sql复杂的存储过程，能够逐步拆解能力； 
7、良好的设计和编码品味，热爱技术，有较强的学习能力，有强烈的求知欲、好奇心和进取心； 
8、具备良好的抗压能力、团队合作精神、有高度的工作责任心，有良好的沟通理解能力； 
9、有服务端分布式开发经验/金融行业工作经验优先。 
职责： 
1、负责系统功能模块设计，参与系统相关项目需求代码评审、设计、编码等工作； 2、与开发负责人、产品经理等项目干系人交流沟通，完成项目需求详细设计、开发等工作； 3、对所负责的系统模块信息安全、代码质量、代码缺陷修复、新功能开发、开发任务进度工作负责； 4、制定合理的工作计划，并在执行的过程中不断监控和管理风险，消除风险，避免对项目造成不良影响； 5、跟进解决各类潜在系统的技术风险、潜在隐患，协助支持测试，能够快速定位和解决相关测试问题； 6、参与完成部分数据分析工作。"
高级数据开发工程师,"成都 - 锦江区 - 牛王庙- 香格里拉
",2024/6/28,5-10年 ,本科,15k-19k,"

华讯网络

","

IT技术服务｜咨询 / 不需要融资 / 2000人以上

",五险一金、交通补贴、通讯补贴、年终奖,"1.参与离线/实时数据仓库的需求对接、数据调研、架构设计、实施交付、关键技术攻克； 
2.参与企业数据治理的需求调研、数据架构设计、方案编写、治理实施； 
3.参与大数据平台、数据治理平台的研发、交付工作。 
任职要求： 
1.计算机、软件工程、大数据相关专业本科及以上学历，5年以上大数据开发或数据治理经验; 
2.熟悉Hadoop生态及相关组件，包括但不限于Hadoop/Hive/Spark/HBase/Flink/Kafka/ClickHouse等； 
3.熟悉维度建模、范式建模等数仓理论，掌握离线数仓和实时数仓相关主流技术框架； 
4.掌握数据治理流程，熟悉数据标准、数据质量、元数据管理等治理方法，具有一定的文档编写能力，了解DAMA、DCMM等数据管理方法优先； 
5.有良好的沟通能力和理解能力，工作主动，能够承担一定的交付压力。"
数据分析,"成都 - 武侯区- 新中泰国际大厦A座2903
",17:53发布,3-5年 ,本科,12k-18k,"

三代人科技

","

在线医疗 / 不需要融资 / 150-500人

",互联网+医疗；千万级用户,"岗位职责： 
1、负责公司各业务的数据分析工作； 
2、承接各部门的数据分析专项； 
3、搭建并完善业务的报表及监控体系，通过对数据的敏锐洞察，迅速定位内部问题或发现机会，针对异常情况协调资源进行跟踪和深入分析； 
4、建设与完善数据分析体系方法论，关注业务动态，解决业务的核心诉求，通过数据驱动业务增长的同时，挖掘流量、产品、策略的商业变现机会，驱动商业化业务发展； 
5、负责业务的精细化运营工作。 
 
任职要求： 
1、本科及以上学历，三年以上工作经验，计算机科学、数据科学、机器学习、统计学、应用数学等领域优先； 
2、熟练使用sql，hive等技术，对大数据计算有一定了解； 
3、熟练掌握数据分析工具（R、python、excel等），能够独立产出数据分析报告； 
4、有一定的业务数据敏感度，较强的数据分析能力、逻辑思维能力，以及分析问题、解决问题的能力； 
5、有推荐/广告/搜索等机器学习相关的算法经验优先； 
6、较强的沟通能力和团队合作能力，勇于承担工作压力。"
etl开发工程师,"成都 - 武侯区- 香年广场
",17:35发布,3-5年 ,本科,10k-14k,"

京北方

","

IT技术服务｜咨询 / 上市公司 / 2000人以上

",五险一金,"1、根据业务需求进行需求分析、完成 BTL 教据建模、模型开发等工作，与应用、测试良好的沟通完成需求迭代； 
2、模型分析，与存汇款、大教据平台等核心系统保持教据同步完整性及教据准确性； 
3、快速完成生产问题排查与解决。 
4、熟练掌握 SQL 语法，具备 SqI 调优能力，良好的教据库技术背景，能基于大教据平台进行教据建模及数据开发等工作。 
5、良好的 ETL 处理能力，熟悉 Hadoop 、 Hive 、 vertica 、Sparksq；任务调度、 Linux 、 Shell 等相关技术栈，优秀的开发实战、性能优化能力。 
6、对教据敏感，能在日常工作中对大教据进行教据分析、教据核验、教据治理优先。 
7、熟悉银行存汇款等核心系统的业务及教据库模型优先。有较好的文档写作能力； 
8、有较强的机行力；有较好的团队意识、适应能力、具有良好的沟通协调能力；抗压能力较强；"
算法工程师,"成都 - 武侯区- 环球中心w1区2021
",09:46发布,不限 ,硕士,10k-15k,"

顶览科技

","

IT技术服务｜咨询,人工智能服务 / 未融资 / 15-50人

",五险一金，朝九晚六，周末双休，不加班,"岗位职责： 
1.负责使用爬虫，NLP，大语言模型等进行微生物RNA，培养基环境数据采集、清洗、预先处理和分析工作。 
2.参与预测算法的设计与实施，包括数据模型的设计、数据流程的优化等。 
3.协助进行大数据相关的研究工作，包括新技术、新方法的探索和应用。 
4.需要英文材料阅读能力 
任职要求： 
1.计算机科学、统计学、数学或相关专业研究生及以上。 
2.对大数据有浓厚的兴趣，愿意从事大数据相关的工作。 
3.熟悉至少一种编程语言，如Python、Java、Scala等。 
4.了解大数据相关的技术和工具，如Hadoop、Spark、Hive等。 
5.具备良好的逻辑思维能力，能够解决复杂的问题。 
6.具备良好的沟通能力和团队合作精神，能够承受工作压力。 
7.英语四六级或者雅思托福 
8.有国际论文期刊发表经验者优先 
*******.面试通过后能够即可到岗*********"
大数据工程师,"成都 - 武侯区- 世纪城路200号1栋1单元7F兴业数字金融服务(上海)股份有限公司
",17:04发布,3-5年 ,本科,20k-21k,"

兴业数金

","

科技金融 / 不需要融资 / 500-2000人

",福利齐全,"岗位职责：




1、参与基于Hadoop的大数据平台的研发工作与持续优化工作。

2、参与大数据平台的容量规划、持续交付、业务监控、应急响应，保证平台正常运行。

3、利用大数据相关技术实现对数据的分析、挖掘、处理、及数据可视化等相关工作。

4、学习和研究新技术以满足系统需求。




岗位要求：




1、拥有数据处理相关专业背景。

2、对互联网产品有见解，关注前沿技术，有较强的学习能力、分析能力和动手能力。

3、熟悉常用分布式计算和存储框架，如Hadoop/HDFS/Spark等。

4、至少熟悉以下一种大数据技术组件，Hive、Impala、Hbase、Flume、Kafka、Zookeeper、Storm、Flink。熟悉资产管理、资金业务和金融工程相关领域业务者优先。

5、个性乐观开朗，沟通能力强，具备良好的团队协作精神，能利用自身技术能力提升团队整体研发效率。

6、工作经历需满2年。最短工作经历不少于一年。"
数据分析师,"成都 - 武侯区- 花样年·福年广场
",3天前发布,不限 ,本科,8k-12k,"

西安布质科技有限责任公司

","

","五险一金,全勤奖,绩效奖金","岗位职责：
1、负责数据分析平台的搭建和管理；
2、根据业务需求数据进行挖掘、统计建模分析，为公司业务的决策工作提供数据支持；
3、将企业内部系统数据定时定期进行统计、汇总及分析，以满足其他部门的数据需求；
4、完善数据报表体系，及时准确监控运营状况，并提供专业分析报告；
5、收集并整理系统功能改进和优化的需求，提出改进建议。
任职要求：
1、本科及以上学历，统计学、数学等相关专业，有数据分析工作经验者优先考虑；
2、掌握数据仓库理论知识，良好的数据分析能力，有丰富的数据分析、挖掘、清洗和建模的经验；
3、精通SAS统计分析软件，熟悉数据采集，具备大数据处理能力, 熟悉SQL，掌握hive等相关数据工具；
4、熟悉报表工具，并可以熟练设计并开发报表。
5、善于沟通，具有良好的团队合作精神；敏锐的商业嗅觉，对数字敏感；
6、有用户行为数据分析经验者、团队管理或新人指导经验者优先。"
金融科技部-大数据服务研发岗,"成都 - 武侯区- 天府大道北段999号
",2025/3/14,1-3年 ,本科,20k-25k,"

四川银行

","

金融业 / 不需要融资 / 500-2000人

","五险一金,专业培训,带薪年假","职位描述: 
1.负责推进数据服务类的项目（包括但不限于全行大数据平台、数据中台、数据湖、外部数据平台、数据共享服务平台）开发工作。 
2.参与我行大数据服平台的架构设计和研发、大数据产品模块详细设计和开发。 
3.参与大数据产品相关技术预研和攻关。 
4.负责大数据服平台产品模块功能优化和产品性能优化。 
5.参与大数据平台代码实现、单元测试、代码修改和维护等工作。 
6.负责数据服务的可视化展示。 
7.负责参与系统业务算法的开发，适当的参与设计，金融模型开发和优化。 
8.负责推进日常数据服务专题工作，包括但不限于配合其他数据岗位开展数据挖掘模型开发优化、数据可视化展现、关系图谱研究等。 
9.完成领导交办的其他工作。 
岗位要求: 
1.具有3年以上大数据开发相关工作经验。 
2.熟悉敏捷研发过程，熟练使用DevOps 持续集成与交付，自动化部署与测试架构，熟悉Linux 环境，掌握docker、k8s等容器化技术，并具备相关系统部署和管理能力。 
3.至少符合下列两项要求中的一项： 
（1）熟练掌握Hadoop、Spark/Spark Steaming、Flink、HBase、Hive、ElasticSearch等大数据相关技术组件； 
（2）熟练掌握 Python 的 Numpy、Pandas、Matplotlib、OpenCV、PIL 等库对数据进行挖掘分析及可视化处理。 
4.熟练掌握SQL语句，有关系型数据库、分布式数据库使用经验， 
5.熟练掌握机器学习，运用线性回归、逻辑回归、KNN、朴素贝叶斯、随机森林等算法，对数据进行预测和分类操作。 
6.符合以下任意一种情况者优先： 
（1）具有2年以上银行业大数据挖掘分析、大数据平台产品研发经验； 
（2）具有2年以上银行业图数据库的系统开发经验； 
（3）具有2年以上银行业AI中台建设优先 
7.具备较强的工作责任心、综合分析能力、逻辑思维能力、学习能力、团队协作能力及创新能力，工作细心严谨，具有较好归纳总结和语言文字表达能力。 
8.品行端正，具备较强的合规理念和风险意识，无不良记录。"
金融科技部-数据模型岗,"成都 - 武侯区- 天府大道北段999号
",2025/3/14,1-3年 ,本科,20k-25k,"

四川银行

","

金融业 / 不需要融资 / 500-2000人

","五险一金,专业培训,带薪年假","职位描述:
1.负责数据仓库、数据集市等数据类系统的数据模型设计与开发，负责对数据仓库、数据集市等系统数据模型进行评估（包括查询性能、稳定性、可扩展性等），针对评估的问题进行优化。
2.负责分析访谈调研业务部门的数据应用需求，并对业务需求进行梳理，设计、优化数据模型。
3.负责数据模型实验室的规划设计，负责数据探索、数据处理、数据挖掘模型的构建，并撰写分析报告。
4.负责配合数据分析成果的应用实施，跟踪实施效果，负责模型的后评估和优化工作。
5.负责数据模型的版本管理。
6 .完成领导交办的其他工作。
岗位要求:
1.具有3年以上数据仓库、数据集市实施工作经验。
2.精通SQL，熟悉数据仓库数据仓库模型设计、分层架构和主题划分，精通数据仓库的维度设计理论和方法，精通SQL性能调优技术。
3.掌握一种及以上数据库研发技术(Oracle、GuassDB、达梦、MySQL、Gbase等)。
4.熟悉Linux操作系统，具备编写Shell脚本能力。
5..符合以下任意一种情况者优先：
（1）具有2年以上银行业务数据仓库、数据集市工作经验。
（2）具有2年以上Hadoop、Hive等分布式计算平台实施经验者。
（3）具有2年以上海量数据处理、性能调优经验。
6.具备较强的工作责任心、综合分析能力、逻辑思维能力、学习能力、团队协作能力及创新能力，工作细心严谨，具有较好归纳总结和语言文字表达能力。
7.品行端正，具备较强的合规理念和风险意识，无不良记录。"
后端开发工程师,"成都 - 双流区- 天府菁蓉中心科学城B区1-4号楼
",2025/3/11,1-3年 ,本科,8k-15k,"

清华四川能源互联网研究院

","

新能源汽车制造 / 不需要融资 / 150-500人

","五险一金,绩效奖金,团队氛围好","岗位描述：
1、负责团队内部产品相关业务需求的分析以及技术架构的设计和开发工作;
2、技术难题攻关，持续提升核心系统性能，保证系统的安全、稳定、快速运行；

岗位要求：
1、 熟悉Java/C++/python/Go等至少一种编程语言以及Linux操作系统基本命令；
2、 有扎实的编码基础，熟练运用常见数据结构及算法，熟悉关系型数据库。
3、 熟悉Hive，Spark，Elasticsearch，Flink等大数据相关技术，有大数据平台相关建设经验者优先;
4、熟悉docker、K8S相关命令，有服务部署相关经验优先。
5、 熟悉系统分析设计，熟练使用常见设计模式，有模块化开发意识，有大型分布式、高并发、高负载、高可用系统设计、开发和调优经验者优先;
6、沟通能力强，思维清晰，头脑灵活，能独立分析并解决复杂的线上问题，具备良好的抽象归纳能力和创新能力;"
数据分析（人力资源方向）,"成都 - 武侯区- 华润雪花啤酒(四川)有限责任公司成都分公司-西南门
",2025/3/11,1-3年 ,本科,10k-15k,"

华润雪花啤酒

","

新零售 / 不需要融资 / 2000人以上

","六险二金,交通补贴,餐饮补贴","岗位职责:
1.根据业务需求，开展数据分析工作，设计分析方案，制定分析计划，输出分析报告，并给出建设性意见以支持业务决策；
2.参与数据诊断与治理，优化数据管理流程，提高数据线上化管理水平，提升数据质量和使用效率；
3.设计并完善分析指标体系，设计并开发分析评价模型；
4.基于数据分析需求，研究先进工具，促进数据分析平台建设与优化；
5.设计并优化数据分析看板，开发并优化报告模板，优化数据产品的可视化效果；
6.基于行业研究方案，开展行业与专业外部对标研究，采集并应用外部标杆数据。
任职要求:
1.本科及以上学历，统计学、商业分析专业优先；
2.具备至少2年相关性高的岗位工作经验；
3.精通Excel、SQL、Python、SPSS等工具，掌握PowerBI、Tableau、FineBI等任一可视化工具，熟悉MySQL、HIVE等数据库，具备CDA、BDA证书者优先；
4.具备较强的PPT报告写作能力。"
